EDUC90,HRLYEARN
3,8
5,25.27
4,26.44
3,6.85
4,21
5,18.46
1,7
2,21
2,14
3,5.5
0,10.63
3,7.75
6,14.03
1,6.75
4,5
5,16
2,11.4
4,6
3,10
0,12
4,8
4,9.89
2,6
4,14.73
2,9.27
5,30.28
5,31.25
4,16.75
5,15
4,21.37
0,13.74
6,11.89
4,14.37
1,5.5
4,9.62
4,19.23
4,18.98
4,21.72
5,32.05
4,11
4,10
3,12
2,7.5
4,21
6,16.15
2,10
2,18.22
3,10.28
4,24
5,6.88
4,7.75
5,14.85
1,14.58
6,20.51
5,12.65
1,10.5
2,8
4,21
6,24.52
2,7
6,25
4,3.46
3,18.5
2,11.3
2,7.5
2,21.63
4,23
1,9.25
1,10
6,22.89
4,20
4,17.5
4,11
3,7
4,12.31
2,10.58
0,6
4,12
4,19.79
4,18.5
1,16
1,7.25
5,18.27
0,8
1,20.58
4,14.71
2,20.94
4,15.5
4,25.96
4,5.6
1,6.85
4,8
1,6.95
2,41.35
2,20.14
5,22.56
3,5.75
1,6
2,10.75
5,16
2,21
1,9
5,27.88
3,26.44
2,5.25
5,12.46
1,7
3,17.69
4,10.5
4,28.04
2,11
5,13.85
6,23.92
5,24.04
1,6.95
4,15.72
4,23.08
5,37.21
4,19.5
2,7.5
3,40.87
2,13.41
4,24.29
3,9
1,5.25
4,25
4,6.85
5,14.43
4,12
4,17.67
2,22.21
2,20
1,11
4,14
2,15
3,19
4,9
5,12.36
4,14
5,8.68
3,11
5,31.25
2,25
5,10.95
5,25.48
4,27.47
2,16
4,15
4,30.22
4,24
4,15
1,12
2,14.13
5,19.78
3,8.5
2,13.25
4,12.69
2,10
4,27.01
4,24
4,7.5
1,6.85
3,20
4,9
4,9.5
1,5.5
0,23.89
1,18.96
4,15.38
0,9.2
4,18.46
3,18.5
2,16
5,27.47
3,12.5
4,21.3
5,25
3,11.42
2,19.84
4,23
4,7.5
5,26.44
1,11
4,10
3,6
2,8.15
1,10.75
3,7
4,22
4,23.08
4,28.67
3,10
4,29.08
4,12
2,7
5,19.23
1,24
4,6.85
6,20
5,19.23
3,11.31
1,11.5
2,15.18
5,12.98
4,19.04
4,18.46
2,7.4
0,6.25
4,17.79
2,22.33
2,16
6,27.47
3,14.6
4,30.05
6,29.49
1,20.51
1,17.5
5,31.66
6,17.31
0,8.37
6,12.82
0,11.25
2,21.98
5,11.45
5,33.85
4,26
4,17
4,8.35
6,16.2
4,12.5
4,16.5
6,18.75
4,10.58
6,37.98
2,5.4
5,26.44
1,6.5
4,26.56
4,7.69
0,6.85
1,8
3,13.75
4,27.33
5,6.25
4,7.15
3,26
3,18
1,8
2,6.85
2,9.14
4,13.22
0,8
2,18
2,18.08
4,50.55
2,12
2,10.63
4,11.45
4,15
1,5.6
4,8.57
4,10
4,16
3,7.75
4,19.23
5,20
4,14.42
4,10
2,20.19
5,26.2
1,14
1,10.58
1,18.75
5,27.5
2,12.5
4,25
5,17.31
3,21.37
5,36
3,14
4,9.44
1,6.85
4,9
5,35.71
2,7
3,11.32
4,9
4,16
6,29.33
6,52.88
4,14
4,7.69
1,8.5
3,7
6,24.04
2,17
2,6
4,14.46
4,13.7
1,10.5
2,12.25
4,21.63
3,5.89
4,7.79
4,14.1
4,25
4,26.11
4,14
3,6
4,28
5,10.5
1,20
2,6
3,8
2,27
3,15.5
3,23
5,11.83
2,11.27
2,23
4,16.96
4,20
2,10.67
2,5.5
4,19.23
2,8
3,6.85
3,10.5
1,5.75
1,14
2,15.3
3,24
5,24.65
0,26.54
3,21.63
4,10.18
2,6.77
4,7.25
0,14
5,7
4,9
4,16.35
4,28
5,32.05
4,15
1,9
6,25.32
2,33.85
4,29.24
3,12.82
4,7
3,7
2,7
2,7.45
4,27
1,13.46
6,25.64
2,6.5
4,19.23
4,19.23
4,11.63
1,6.85
4,10.8
6,8.91
3,12
4,17.6
2,7
5,21.63
6,62.5
4,20
4,15
4,12
5,16.89
2,14.9
2,8.5
4,8.08
4,25
1,6
4,10
4,18
1,3.96
1,18.76
4,12.9
4,14.01
5,25.62
2,29.81
2,33
0,8.65
6,19.23
2,34.62
2,8.5
1,7.5
1,24.29
4,8.65
0,20.22
1,6.85
4,14.42
4,13.74
5,23.16
4,8.5
4,15.87
4,36.06
4,17.58
3,8
1,14.5
4,37.5
1,7
2,19
4,15
1,14.57
4,13.58
4,12
2,10
4,20
4,14.36
2,9.56
1,7.5
5,12.02
4,17
6,30.77
5,25
4,15.38
4,24
4,13.7
5,25.48
2,5.5
4,12.65
4,11.28
2,13.94
1,35
1,8
5,16.83
2,16.54
0,4.5
3,7
3,14
4,17.31
3,17.79
1,10.5
3,7.75
4,10
1,5.31
1,7.5
5,18
5,25
1,13.07
5,19
4,23.51
2,23.08
4,15
5,20.51
2,27.4
4,10.77
4,20
1,12.85
4,8
2,6
5,21.34
4,13.05
2,13.5
1,7
4,15.35
4,24.75
4,18
5,26
2,11.54
2,36.06
1,9
1,5.65
4,10
5,13.89
2,6.75
4,13.75
4,25
4,15
1,6.5
4,10.5
4,14
4,13.49
2,11.67
6,12.5
5,15.21
2,12.14
4,16.58
1,7
2,13.69
6,25.93
2,22.56
4,26.92
0,10.5
2,10.6
2,7
1,12.74
3,8
4,12.69
5,24.04
4,21.39
2,16
5,19.23
2,27.63
1,7.5
1,11.65
2,12.17
3,23
0,20
1,6.89
2,10.8
1,14
5,8.5
4,28
3,6.85
4,18.25
3,17.33
4,11.73
2,22.8
4,7
4,23.08
5,28
4,20
4,9
2,16.67
4,14
5,16.83
4,7
4,19.69
6,17.31
4,16.83
4,12.75
2,20
2,6.85
2,10.45
6,26.67
2,22
2,6.5
1,7
1,5.5
4,8.3
4,27.83
2,7.35
4,11
2,20
6,40.06
4,22.26
4,22
4,21.4
3,19
1,11.25
5,19.78
2,15
1,11.12
1,9
2,15.45
3,33.65
4,8.5
3,6.38
2,17.89
1,14.85
5,14.42
3,25.18
4,14.42
2,22.34
1,5.5
1,7
3,14.5
1,11.5
2,17.1
4,5.5
2,13
2,10.5
1,9.85
6,20.51
2,14
4,19.32
4,8.4
5,21.1
4,17.02
2,10.94
2,11.97
4,19
4,21
4,19.25
2,9.5
4,8
1,15
5,14.77
3,8
4,25.43
4,18.5
5,17.53
1,6.85
1,8.32
3,9.25
4,12.8
2,15.5
1,3.18
6,19.49
5,31.95
3,11
5,23.17
1,8.65
3,10.35
5,27.69
4,20
1,17
4,20.29
1,21.87
4,19
4,8
4,12.51
2,9
3,8
0,10.8
4,17.35
2,8
3,10
4,9.6
3,17.58
1,6.85
5,10
2,10.02
3,14
3,10
2,9
1,24.1
4,31.73
4,14.45
1,8.25
3,29.91
2,14.74
1,26.13
6,24.73
5,8.2
4,7.5
2,13.33
2,5.5
3,8.65
4,18
4,6.5
2,15
3,6.85
6,26.92
4,14.6
4,15.38
4,10
1,9
2,29.76
5,35.86
0,5.5
2,21
4,16.8
2,16
3,9
4,16.8
4,7
1,9.5
4,18
2,5.5
3,9
2,10.56
4,26.71
2,16.15
4,12.95
2,23.12
1,13.94
5,16.92
1,5.4
4,8
5,34.86
4,15
4,26.67
4,17.13
4,11
4,26.45
4,12.12
6,13
2,10.26
4,23.5
4,17
3,8.58
4,20
1,9.15
1,14
0,8.55
5,15.87
6,32.97
2,6.7
4,15.6
4,25.44
6,21.63
2,14.77
4,15
2,18.06
6,8.08
4,6
0,9
2,10
0,8
4,15.75
2,13
2,8.55
4,17
1,10
1,15
1,6.85
4,20
5,21.26
4,17.45
3,4.67
2,16.63
2,16
5,28.85
5,21.37
3,9.62
1,3.46
0,11.65
5,18.46
5,15.38
4,20.1
2,7.5
4,17.79
1,14
2,18.71
1,10
3,7
5,15.32
3,6.85
3,13
4,19
2,13.94
4,7.5
1,7
2,17.95
1,15.5
2,8.5
4,31.79
0,8
1,11.22
0,9
4,20.51
4,27
4,9.9
4,11.64
4,22
2,6.9
4,8.35
2,8.25
1,6.9
4,17.31
3,20.19
4,14.42
5,21.54
4,7.5
0,6.25
4,10.5
3,10
4,10.3
4,23.65
4,21.98
2,13.01
3,7.5
2,27.5
1,8.85
5,27.18
4,19.25
5,45.67
5,34.21
4,9.5
2,5.5
3,13.75
5,6
4,21.95
4,32
6,21.31
1,7
4,14.5
4,23.81
2,13.7
1,6.85
2,21.66
6,48.9
4,9
1,18.41
4,9.5
2,9
1,7.25
4,23.7
5,20.98
5,26
2,14
1,5.25
4,9.5
4,11
4,13
4,21.92
6,23.08
4,14.69
2,5.4
1,16.5
4,26.79
1,8.75
6,25
5,17.31
2,12.5
3,6.85
1,8.74
4,14
0,6.25
4,14.35
3,23
0,14.7
6,32.97
5,8
2,9.23
1,12.55
0,13.12
5,17.31
6,20.05
6,27.88
1,9.56
2,10
5,18.75
2,12
4,12.75
5,30
4,12.31
1,11.08
1,6.75
5,6.85
4,16
5,19.49
2,13
2,5
3,10.77
1,5.5
4,13.75
1,7
4,30
2,6.25
6,44.4
5,38.46
2,9
4,23.08
0,6
3,24.41
1,13.85
3,8
4,15.9
3,7.3
6,30.22
4,10.82
1,13
2,23.08
4,11.96
2,10.88
2,10
5,12
2,6.85
4,27
4,8.75
4,18.3
0,8
2,12.97
5,20.19
4,24
5,21.43
2,16.26
4,20
3,15.38
2,13.85
4,7.15
3,7.5
4,20.66
4,12
3,11.1
6,16.99
5,15
4,8
4,27
4,25
4,40.2
4,19.76
1,8
2,8
4,25
1,13.6
4,9
2,11
2,11.54
3,7.35
2,15.26
5,32.31
4,19.49
6,18.34
4,14.85
4,10.71
4,19.13
0,13
4,12.45
4,13.9
1,16
5,26.67
0,14.5
1,7
5,12.5
2,17.79
3,5
4,8.75
3,6.85
1,7
5,20
4,18.5
6,14.74
4,15
2,20
4,10
1,9.46
2,12.5
5,19.71
4,7.14
4,26
1,7.5
4,19.47
5,26.26
1,9.6
1,14.6
2,7.8
4,5.4
4,22.94
4,10
4,20
4,11
1,18
1,25
4,6.73
2,15
4,14.63
4,18.02
3,13
1,10.99
4,8.29
6,37.98
4,30.07
5,13.33
2,10.63
4,16.83
2,18
2,12
1,15.5
4,19.5
0,6.25
2,13.55
4,20
6,38.46
5,26.04
2,12
4,25
4,15
4,13.85
2,6.95
4,10.25
5,28.72
4,33
2,12
4,16
2,8.5
0,6
1,15.5
4,18
4,9
4,28.85
2,10
5,13.75
5,7
4,20
3,5.5
4,25
4,12
2,13
5,13.85
4,22
2,10.6
2,13.95
3,11
4,12.5
4,24
5,17.95
5,24.04
4,28.85
1,8.75
6,20.79
1,10.68
4,10
1,6
2,16
4,29
4,14
4,7.75
2,15
4,19.16
2,7
3,40.53
5,19.23
4,20
4,16.38
2,7.75
3,13.94
4,15
2,10.96
3,6
4,7
3,6.25
2,7
4,16.83
3,15
1,11
3,8
5,16.67
1,16.5
4,21
0,8
5,19.23
5,44.71
6,25.64
4,7.5
5,23.33
2,41.76
4,22
1,6.85
5,30.77
4,13
1,4
2,12
4,18
4,15
1,6.85
5,26.44
5,27.47
6,31.87
4,23.59
4,24
1,7
2,6.25
4,8.5
0,10.1
5,20
4,12.1
2,10.15
0,21
0,9.5
1,22.63
4,17.31
4,30.77
2,10
4,15.4
3,16.83
6,38.46
2,12.5
4,26
4,15.4
1,6.8
5,18.75
2,5.75
2,7
1,6
4,26
5,14.29
2,12.5
2,31.47
3,5.63
6,28.85
1,6.83
4,19.22
2,12
4,18
4,27.73
2,7
4,5.55
4,9
4,22.25
4,19.66
1,7
5,28.85
1,8
2,27.88
4,9
4,24.62
1,13.84
1,7.35
5,14.34
1,20.75
2,16.44
2,14
0,5.5
4,15.38
2,35.84
4,7.1
2,6.92
5,17.23
3,17.3
3,18.5
2,18
4,12.5
1,6.5
1,14
2,13.55
2,6.85
4,20
5,26.5
6,14.42
0,22.5
3,28.3
0,23
2,8.35
1,18.18
3,7.94
2,6.85
4,13
4,16.83
4,24
4,15
2,19.63
2,5.95
2,10
2,14
1,9.5
1,6.92
4,12
4,12.02
2,14.42
3,7
4,15.38
6,28.57
1,7
4,16.32
6,40.6
4,13.19
1,7.25
3,25
2,7
4,21
4,21.88
4,7.5
3,22
2,10
2,9
3,8
4,12.99
3,6.9
4,14
5,25.23
4,21.63
4,21
2,21.15
2,12.22
2,6.65
2,11.54
3,16.67
1,6.85
2,6.25
4,9.7
1,5.4
1,13
4,29.74
3,5.6
3,10
5,14.49
2,6.5
4,24.04
6,9.62
6,43.33
0,11
0,6.01
4,15.42
4,18.3
5,10
2,6.75
4,20.19
4,10.25
4,14.93
4,16.8
4,17
2,6
0,13.23
4,15.38
2,10
5,9
5,29.81
6,21.7
1,5.4
4,10.5
4,21
4,21
6,22.6
5,6.92
6,4.75
4,24.5
4,15.88
0,9
0,6.25
2,16
2,8.82
5,25.48
5,19.75
4,26.18
2,21
2,11.25
3,11.5
4,14.85
5,17.05
1,6.45
4,10.6
4,10
2,9.23
4,12.75
4,12.73
4,24
2,12.5
1,6
2,11.43
4,8.13
6,17.5
6,23.08
1,11.34
2,8.25
2,10.65
4,24
6,21.68
2,20.25
4,12.5
1,16.67
4,21
4,11.25
5,16.35
1,6.85
2,12.25
4,10.07
1,6.4
4,14
5,22.6
4,14
6,26.92
2,8.5
1,9.62
1,21
5,23.17
3,24.04
3,32.6
4,3.6
4,8.88
1,9.3
2,7.14
4,12.02
1,14.14
2,9.75
4,19
4,25
4,18.97
4,17
0,25
4,7
4,18
6,31.25
5,25
2,7.5
3,22
1,13.5
3,15
6,9.62
6,24.73
4,14.53
6,25
4,15
2,12
3,7
2,9
3,8.33
5,24.04
1,18.65
2,12
4,13.45
3,12.82
4,7.3
2,12.5
5,15.38
2,13.5
5,16.83
3,16.67
4,19.59
1,6.75
3,7.5
4,8.65
4,23.43
4,8
1,6.85
2,7.65
3,19.76
3,10
4,11.5
5,8.65
3,9
4,33.65
2,8
5,43.59
2,8.66
2,6.85
5,16.88
5,17.95
2,18
2,13
4,16.69
2,33.65
4,10.5
0,21
4,28.85
1,9.38
2,15
1,6.88
3,6.9
3,6.85
4,22
3,12.02
3,23.75
4,24.25
5,23.75
4,11.53
4,12.65
4,36.04
4,12.5
0,13
5,12.69
4,8.45
1,15
0,15
1,14.69
5,30
2,11.93
1,13.77
5,22.65
4,12
5,17
4,15
5,24
3,22.4
1,14
4,15
2,18.59
5,23.08
6,26.44
3,6.5
0,18
1,2.63
4,14.87
6,18.25
0,8.12
1,12.05
4,27.78
3,14.2
2,16.27
4,15
2,22.48
1,5.5
4,21.63
4,7.5
1,6.65
3,7.5
1,12.5
6,27.97
5,19.23
5,27.47
4,30.22
5,10
4,12.5
4,6.7
1,11.29
4,18.22
1,5.6
3,7
6,27.69
2,5.5
3,13.85
2,10.13
4,22
3,35.1
1,22.6
4,7
4,11.06
4,12
4,23.25
3,20
4,7
0,12
5,12.84
1,20.51
1,6
2,16.39
6,30.77
4,14.42
1,15.73
4,10.75
3,8
6,48.08
4,25
2,6.08
4,18
4,5.75
3,8
4,19.23
4,31.25
4,7.5
4,19.77
1,18.5
3,6.85
4,6
4,8.75
2,13.46
5,28.21
0,6.9
4,11.8
4,13.05
4,8.1
3,10
5,34.01
4,24.04
2,11.67
3,11.18
1,6.9
1,21.63
4,13.93
4,16
4,22
4,7.5
2,13.74
4,7.75
4,6
4,17.31
4,13.13
0,16.62
5,26.44
1,19
3,8
3,5
5,16.29
3,11
2,10.06
4,23.08
4,6.5
6,18.75
3,13.5
6,18.18
2,25
4,21
0,6.25
2,5.5
1,20
5,10.68
4,12.69
3,6
4,36
4,13.42
3,19
1,12
2,33.92
2,18.79
1,9.25
2,21.89
4,7.25
2,22.5
3,11.25
3,8
2,9.39
4,18.68
4,17.95
4,13.5
2,21
4,9.5
1,5.5
2,7
2,15.58
4,8.31
1,16.14
2,11
1,10.5
5,27.4
4,20
2,10
2,8
1,6.8
4,20.8
4,12
4,9.5
2,15
4,24.04
3,15
4,13.23
5,16.48
4,5.5
2,15
2,9.73
2,10.2
2,12
0,10
2,6.6
1,8.5
5,7.11
4,11
1,5.4
4,17
4,20
2,12.5
0,15
3,6.5
4,18.6
4,14
5,26.67
1,6.4
4,15.84
0,14
5,26.92
3,5
5,14.42
4,11.62
3,12.02
5,23.5
3,33.65
4,28.85
2,11
4,25.71
2,9
4,18.07
5,11.54
1,7
5,11.06
1,6
4,27
2,13.85
4,33.65
2,6
1,6.5
6,33.33
2,16.92
4,21
4,8.5
5,21.7
4,28.37
4,15
2,7.25
0,15.38
2,20.5
4,13.99
2,11.54
2,13.91
2,14.42
4,16.09
1,7.23
1,5.75
1,17.79
4,24.5
4,10
2,18
4,15.38
5,17.31
2,9.5
2,9.69
4,22.31
1,8
2,9
4,16.35
4,6.75
4,22.12
5,30.77
2,6.5
5,15.9
5,8
6,24.04
4,16.25
4,13.5
2,21.14
4,26.44
0,7
1,4.62
3,19.23
2,11.45
3,7
4,23.08
2,12.82
6,22
2,13.22
4,6.5
6,14
3,12.86
5,17.7
5,30.77
6,28.75
4,20
3,15.65
4,7.6
2,17.5
2,9
5,14.62
6,18.27
5,14
1,7
6,16.83
2,15.38
2,7.05
2,39.06
4,10.41
2,9
3,14.45
0,17
4,28.21
6,15.49
4,18.27
5,38.46
5,15
6,30.05
4,7.35
3,6.9
2,19.25
3,8.5
2,8.5
2,8
2,17.31
5,8.5
5,17.31
2,6.5
4,16.48
4,22
3,7
5,15
2,11.63
3,8.7
4,14.09
2,7.1
4,15.27
5,33.05
4,12
4,10.58
4,26.32
5,23
1,13.5
4,14.63
2,14.85
4,35
2,5.5
4,12.64
2,14.42
2,6
2,7
4,12
4,16.5
5,10
4,16.8
4,6.85
4,11
5,13.5
2,10.97
0,21.75
4,21.63
1,17.6
3,6.85
0,17.95
2,12
4,18.68
4,27.33
6,43.27
1,24.03
4,12
4,21.63
1,10.12
4,20.01
3,23.63
4,8.89
6,17.31
6,41.03
1,5.6
4,7
5,12.26
5,33.65
2,6.8
2,15.38
4,18
4,18.75
2,17
4,14
4,21.15
3,18.46
4,18.5
2,14
1,9
1,10
2,22.6
2,11.5
2,13
1,10.49
4,15
5,12
0,14
4,17.95
4,23.08
4,14.11
6,14
2,20
4,26.5
4,13.75
2,13
3,9.47
1,6.85
4,26
2,23.64
1,6.9
4,37.5
4,8.65
1,6.3
4,16.5
1,25.46
4,17.44
5,6
2,23
2,11
3,9.5
6,20
3,17.31
1,15.38
2,10
1,5.95
3,14.39
2,14.18
4,13.83
2,9.67
3,25
1,8.5
5,33.65
1,5.25
2,17
5,12.98
5,25.64
3,18.5
2,12.5
4,27.41
4,9.5
3,18
4,8.65
5,29.59
6,48.08
2,36.12
2,10
6,23.56
1,10.2
4,16.5
2,19.5
2,10.5
4,12.45
4,12
4,20.05
5,32.85
3,5.5
4,9.09
4,10
5,20.19
2,6
4,7.25
4,9.57
4,16
2,14.92
0,9.23
2,6.85
5,47.31
4,15.2
2,19
1,5.6
2,7.8
6,31.79
2,6.75
1,6
4,15
5,29
5,20.66
3,15.73
4,6.5
3,15.1
0,5.25
3,10.37
2,26.37
1,20
3,20
4,10
1,10
1,6
3,9.81
2,11.2
0,12
0,11.45
1,15.45
4,25.81
4,20.92
4,12.41
1,23.06
2,7.5
3,7
4,20.58
5,18.1
4,13.5
2,8.5
4,12.5
1,8.45
5,15.38
2,6.25
0,22.5
4,8.21
2,6
3,15.38
4,24
5,24.04
6,21.37
2,19.23
2,13
4,15
2,33.65
1,6.85
1,15.5
3,8
1,12.2
1,13.6
3,6.9
4,11
4,15.95
4,15.05
1,5
1,6.85
3,8
1,12.92
6,18.27
2,9.75
0,8
1,19.71
5,21
2,15.42
3,9.9
4,19.2
4,14.42
1,7.1
4,24.04
3,25
2,8
4,10.34
5,10.25
4,27.14
2,8
4,22.86
1,6.85
2,15.45
4,5.5
4,5.7
0,23
2,5.4
3,6.85
2,11.5
2,26.92
1,14.77
2,7
4,24.75
1,5.4
2,11.25
4,10.26
0,11.87
4,14
4,11.54
3,30.26
5,30.45
4,28.73
1,6.85
4,20.82
3,9.62
0,9
4,21
2,14.75
4,13.35
4,17.86
4,23.63
2,25.26
3,9
5,23.08
3,14.5
4,19
4,25.33
4,13
4,20.4
5,33.41
2,23
1,32.69
6,15
2,11.18
1,22
2,30.77
4,10
2,20
4,23
2,10.5
3,9.62
5,15.2
1,7.8
0,22.45
0,9.5
2,18
3,6
3,11
4,25.72
4,19.23
4,24
4,12.24
2,10
6,17.33
1,20.91
5,10.95
4,10.4
4,26.37
3,15.77
2,51.92
4,16.83
1,10
4,10.58
2,21.5
4,12.31
1,18.02
4,23.71
5,9.62
1,22
4,5.5
4,12
1,9.26
2,15.2
4,9.5
2,13.75
1,20
2,22
4,11
1,6.85
0,7
1,9.23
2,11.34
2,12
4,11
4,24
1,7
2,8.9
1,8
4,8.33
1,12.98
2,9
6,6.97
4,11.5
4,12
4,8.5
2,17.51
2,10
3,10
4,10
3,10
5,34.62
4,19.02
6,24.04
4,9.62
4,8.08
5,6.92
4,24
4,14
4,31.25
5,21.98
5,34.19
4,16.55
2,14.75
4,14.38
2,22
2,9
1,24
4,19
2,8.65
0,18
2,11
4,10
1,7.4
3,12.82
2,7.25
4,17.5
4,12.83
1,13.81
