EDUC,HRLYEARN
4,15
4,20
6,39.66
5,26.92
3,36.06
3,35.35
3,19.78
6,32.69
1,35
4,19.33
5,17
4,18
2,14
5,20
6,50.48
5,42.79
4,87.61
5,25
4,14.75
4,22.77
6,16
5,21.15
4,15
6,19.23
2,14.5
2,28
5,19.47
5,15
5,34.62
4,54.4
1,14
4,14.65
5,28.5
4,15.4
3,45.48
4,17
5,47.12
2,30.22
5,24
5,75
4,16.67
4,34
2,17.5
4,29.8
3,14
3,25
2,19.23
2,23.08
4,14.25
1,16.03
2,16.15
6,33.33
2,14
4,46.15
6,72.12
4,52.75
4,57.69
6,56.82
4,26.92
4,25.06
5,14
5,14
2,22
1,13.15
4,34.89
4,16
5,32.05
6,53.32
2,33.65
6,24.62
2,15
4,47.12
5,54.13
4,40.65
4,14
4,43.27
2,28.21
4,18.35
2,17
6,37.44
5,28.85
5,35
4,25.03
2,18.9
4,19.71
3,25
5,26.44
1,28
6,24.04
4,24
3,11.54
4,27.69
5,30.77
5,14.25
4,30
5,14.93
2,23.56
5,48.35
5,26.92
5,28.85
2,14
6,22.61
6,26
2,16.48
2,23.15
5,35
4,14
4,62.5
5,19.78
4,25.82
5,32
4,21
5,21
5,30
3,15
5,22.6
2,14
5,27
4,16
5,40.5
4,19
6,30
0,20
5,50.26
5,32
4,19
6,61.54
5,14
4,24.62
2,15
6,21.63
5,34.52
6,15
2,34.89
5,40
6,20.4
5,39.18
4,26.22
4,18
6,37.5
4,38.46
2,35.71
5,17
3,14
6,45
4,17.05
1,14
4,28
5,14
5,53.42
5,37.1
5,29.56
4,19.23
5,4.31
5,21
4,18.5
4,32
6,62.5
6,27.62
4,26.79
5,22.38
5,16
5,23
2,15
6,24
3,20
6,44
6,60.1
6,14
4,38.46
4,26.6
4,21.5
5,23
5,24.04
2,14.42
5,15.25
2,16
5,30
3,51.28
6,73.08
4,35
4,53.85
5,41.96
2,36.1
5,14
6,34.89
5,16
3,19
6,21.63
5,13.13
5,49.23
4,26
5,76.92
2,22
6,86.54
2,18.5
5,30.29
2,15
4,26
4,24.04
1,60
4,17
2,68.27
5,14.25
4,26.22
5,15
6,16.7
6,38.1
5,33.65
1,14
6,24.23
4,45
5,28.85
5,15
5,40
6,23
6,28
6,49.63
4,33.52
5,48.56
5,29.67
4,14.71
4,22.56
3,14
2,15.91
5,27
2,16
4,14.24
6,51.28
4,22.73
3,27
6,45.19
6,39.42
3,18
6,35.56
4,22.12
6,34.36
5,16
4,14
5,32.66
2,18
6,28.85
4,28
2,18
5,51.1
4,28.85
2,76.92
5,30
5,22.6
5,36.77
5,56.49
3,35.58
4,61.54
5,25
2,23.08
1,38
5,17
6,28.85
4,28.5
5,17.31
4,18
4,15
5,25.96
4,19
4,15
6,21.63
4,19.37
2,14
5,20.15
5,17
5,23
4,30.77
5,14
5,16.5
4,5.54
6,36.06
4,26
5,26.75
2,14
5,26
6,16
6,70.51
4,39.8
4,15
5,19.23
5,14
6,70.85
4,17
4,29.41
5,29.57
6,40.87
3,15
4,20
4,17
5,30.77
2,30
4,16.35
2,46.15
2,26
5,22
5,19.62
5,21
4,19
2,22
6,40.56
2,14
4,32.5
5,8.13
4,51.28
6,52.88
5,14
5,41.21
5,42.31
6,14
6,24.04
4,30
5,14
5,36.76
5,22
4,20
2,40
1,15.51
4,21.25
2,21.63
0,15
5,31.25
4,15.5
3,24.04
5,27.47
2,19
2,17.4
5,20.88
5,18.93
5,14
4,26.92
4,27.69
6,26.22
2,30
6,39.34
5,38.46
4,17
5,39.56
5,48.08
4,12.5
4,40
5,23.08
5,19.49
3,31.97
5,27.47
4,44
4,29
1,14.31
4,16
3,14
6,44.87
2,16.83
4,36.26
6,51.79
4,15.75
4,48.08
4,14.3
4,15.05
2,14
4,25
2,16
4,17.31
3,16
4,19
5,34.87
2,21
2,26.5
5,48.72
6,44.1
5,14
6,35.9
4,45
6,20.91
5,24.04
5,21
4,28.85
2,16
4,31.7
6,28
2,14.25
5,37
1,15
4,79.33
1,14
6,77.88
6,16
5,60.1
1,13.85
6,22
6,35.43
5,25
4,18
5,28
5,37.5
1,14.35
6,24
5,52.88
5,28.21
4,25.64
5,18
2,7.21
5,17.48
6,16.5
6,14
5,22.53
2,8.13
5,29.74
2,42
4,24.62
6,14.5
6,72.12
4,48.72
5,21.03
5,21.63
4,52.2
5,23
6,48.08
4,36.24
3,20.18
5,31.25
2,19
0,14
3,41
6,38.46
2,14
6,28
2,33.75
4,48.08
3,14
6,16
4,18.75
2,24.04
5,41.03
6,36.92
4,23.08
4,50
2,35
5,20
4,36.06
5,14
4,16.75
6,29.81
6,46.67
2,14
6,23.08
5,36.06
5,26.13
5,23.65
5,17
5,30
6,39.42
2,11.54
5,27
4,27.07
4,22
4,27
6,61.54
3,16
1,16
4,45
5,38.46
4,15.63
4,20
5,58
6,48.72
5,15
3,27.43
5,47.18
5,52.88
5,46.15
5,53.33
6,46.7
5,14
5,14.25
2,16
2,32.1
5,46
4,30
4,32.5
4,14
2,15
3,14
6,42
3,15
5,28.13
4,15
6,16
5,10.8
5,66.35
2,20
4,16
5,52.88
2,20
6,49.58
4,27.2
1,14
2,15.8
4,16.01
2,16
4,17
2,14.28
3,16.5
4,17
4,25
6,24.6
2,15.65
2,28.85
5,53.11
4,26
6,40.38
6,20
4,38.97
4,17.9
5,83.08
2,16
5,18.4
5,41.88
5,26.44
6,46.15
5,33.33
1,8.75
2,14.51
6,52.88
6,32.15
4,50
6,28.13
4,35
5,16
4,20
5,47.6
5,30
5,26.44
4,36.06
4,17.5
4,17
3,14.42
4,16
2,30
6,47.44
2,16
5,41.03
2,18
2,16
1,19.37
5,35
4,20.6
5,46.88
2,19
5,23.49
4,27
2,15
6,50
4,24.36
4,14.5
5,15
4,70.47
5,30
3,21.45
5,18
5,16
5,16.15
4,20.19
4,16
6,27.47
5,25
3,15
4,14
3,22
1,28
5,60.1
4,33
4,22
4,24.75
4,32
5,12.75
2,17
5,28.85
5,31.25
5,18.68
5,38.46
4,29.75
2,18
6,43.27
6,25
6,73.56
3,23.74
6,32.1
1,14
5,28
5,52.88
5,15.38
6,60.51
4,20.63
2,33
6,58.97
6,36.81
5,38.46
5,17.5
5,24.04
5,22
2,14
5,21.3
4,28.85
5,42
4,14
6,38.97
5,14
2,27
6,51.57
6,40.38
6,41.58
0,22.46
4,34.09
3,14
6,14.42
5,28.85
2,10
5,70.47
6,26.75
6,47.12
4,27.18
4,27.18
3,19
5,14
5,15.5
5,31.25
2,26.44
5,61.94
2,25
4,23.7
4,14.5
6,35
4,29
4,23
0,18
4,36.81
4,35
2,14
4,79.33
3,18.66
5,35
2,17
5,41.03
6,53.3
5,28.28
2,16
1,15
4,47.18
6,30
5,14
2,26
4,30.77
5,19.86
4,14
2,32
4,22
4,19.23
2,23.17
5,18
2,20
6,33
2,15
2,14.65
2,22.44
3,18
4,27
4,22.3
2,18
4,27
4,35.71
4,15
5,15.5
2,19
2,49.23
3,62.5
6,24.04
4,30.77
2,18
6,41.79
4,38
5,23.08
4,20
5,48.21
6,28.75
4,17
5,31.73
4,17
2,32.5
6,34.86
5,23
2,18
6,50
4,17
5,79.55
6,35.1
4,34.62
4,15
4,15
3,15
5,4.15
4,20
4,24.25
5,41.83
5,14
4,23.08
3,13.1
4,21
4,16
4,14.2
4,14
2,18
2,30
4,17
5,67.31
1,23
5,35
6,74.09
5,14.42
4,29.81
5,40.38
4,32
2,29
6,24.04
4,47.5
4,41.5
0,18
5,57.69
5,41.03
4,13.3
2,25
2,20
2,28.85
4,19.38
5,15
6,12.02
4,14
5,29
4,17.5
2,14
3,36
5,18
5,38.46
2,27.18
4,60.26
6,36.92
4,20.85
5,20.66
5,62.5
4,13.32
4,26
3,17
2,14.35
4,20.49
4,32
5,47.54
5,51.92
1,38
3,14.25
2,16.48
5,61.54
5,20.24
6,31.25
6,70.64
4,56.82
6,47.75
5,56.41
4,20
4,43.59
5,15
5,14.42
4,41.35
4,27.4
4,41.96
4,42
5,28
5,28.9
6,65.87
5,19.87
4,22.6
4,18
2,15
2,29.74
6,20
4,51.43
5,29.33
6,44.62
4,36.8
5,17.5
5,51.28
5,15.87
4,21
6,16.73
2,21
1,14
4,31.19
1,28.62
5,39.42
6,64.1
3,21.63
4,38.78
4,25
6,61.54
6,72.12
2,16.8
6,33
5,21.76
5,38.46
5,19
3,14.56
1,15
6,26.44
5,48.08
6,18.75
4,33
3,45.03
5,15
5,15
5,39.49
6,51.92
5,37
2,16
5,14.8
2,38.46
2,15.38
5,33.65
5,96.15
4,27
5,32
4,28.85
4,42.31
2,17.95
2,49.04
5,53.63
5,47.25
5,35
5,55.29
6,67.31
4,30
4,11.25
4,16.25
6,16
5,14.5
3,20.4
4,32
6,21
1,14
6,25
6,23.08
3,14
4,26.2
4,19.13
1,14
4,35.56
2,16
3,26.44
5,72
4,24.04
5,16
3,14
5,15.25
2,31
5,14.42
6,30.77
3,38.46
4,19.23
5,15
5,35
6,60
2,14
1,15
2,21.63
5,34.87
5,14
6,57.69
3,18
3,23.7
5,20
3,14
6,63
5,33.65
6,48.08
5,14
5,19.23
5,16
5,43.27
4,17.25
2,17
5,65.93
5,81.73
2,18.69
4,20
5,15
4,33
2,30.8
5,15.38
5,33.64
6,20.49
3,14
2,22
6,24
6,22
5,14
4,15
2,26
4,33.33
2,16
5,55.56
3,19.23
4,16
4,14
2,14
5,76.92
4,34.62
4,18
4,28.41
5,33.33
5,15.63
2,20
5,52.88
2,14
5,27
2,16
4,42
6,23.38
4,40
4,15
1,19
4,34.81
1,14
5,28.85
6,33.33
4,14.25
5,33.65
4,52.88
3,28.85
5,26.56
5,20.5
4,48.72
6,18.88
5,49
5,32.69
3,19
5,24.04
5,20
2,14.42
1,13.7
4,19
6,44.26
4,17.5
1,14
5,36.26
2,14
1,12.02
6,48.08
6,23.39
2,31.25
5,14
4,29.82
5,26.5
6,56.41
3,16
4,22.25
2,21
2,30.5
4,14
4,25
5,14
6,100
5,63.92
2,14.2
6,21.43
5,41.61
2,20
6,76.92
6,38.46
4,26.44
6,73.45
6,45
3,17
2,16
4,40
3,14
2,20
2,14
5,45.89
6,26.44
5,19
6,20.19
4,25
5,53.3
5,52.88
5,25
2,15
3,14.42
5,45
4,23
4,27.47
2,18
3,16.83
1,15
3,14
3,14
2,18.46
6,35
4,17.95
5,83.65
5,22
5,14
1,41.54
3,18.18
5,22
2,14.5
4,15
2,15
5,34.52
2,15
0,14.75
5,16
4,17
5,39.42
5,32.5
5,34.29
6,24.75
4,10
2,14
4,16
5,31.87
5,18
5,18.27
6,25.4
4,24
5,58.97
5,52.88
2,31.28
6,37.18
1,14
4,18
5,62
3,18
5,30.22
2,12.02
5,36.26
2,23.5
6,53.96
1,14.5
2,14
6,24.62
4,15
3,15
4,34.62
5,48.08
5,23.08
1,14
6,21.63
4,14
2,17.95
4,15.5
4,26.67
4,21.03
4,21
5,66.67
1,40
5,47.55
1,17.03
4,55.25
5,14
2,31.79
4,14
1,16
5,86.54
5,33.33
4,27.69
3,28.85
2,14
4,19
5,46.15
2,16
2,14
5,34.13
1,17
3,15
5,14
3,14
2,14.27
4,30.05
3,17.5
2,20
4,29
2,19.04
1,14
3,14
4,16.9
6,14
6,48.08
5,16.5
4,42.73
4,22
4,29
4,21.63
5,19.38
6,10.38
4,23.08
1,13.15
4,48.08
6,64.1
5,38.46
5,14
5,48.59
2,16
5,29
5,33.65
2,15
5,26.44
5,21.63
4,21.98
4,25
4,35
0,38
5,14
4,40
2,34.19
5,23
4,19.23
6,36.06
6,33.78
3,14
6,48.9
2,16
4,14
5,30.29
5,14.5
4,43.27
2,18
4,43.27
5,29.67
5,20
5,20.43
6,21
4,33.65
4,42
2,14
4,24
2,57.69
4,20
6,21.63
6,28
4,22
2,14
6,16
2,22.05
5,50.48
5,51
5,57.83
4,17
6,50.96
1,13.3
4,40.38
5,25.64
4,18.27
5,33.65
2,32.1
2,18.15
4,39.8
5,27.5
2,15
1,10.58
2,24
2,14
4,15
6,31.28
5,36.06
4,34.36
6,46.63
5,24.62
4,16
6,50
2,43.27
4,18
2,79.33
6,85
6,14.49
4,28.85
4,14
5,23.38
4,16
5,18
4,66.35
2,24.04
4,29
3,20.67
4,17
5,26.8
5,34.47
5,20.7
4,25
5,14.42
3,14
4,21
6,14
5,52.88
2,30
2,32.31
5,38.46
6,41
5,23
2,20.95
4,20
5,39.52
1,44.25
2,14
5,38.46
4,25
1,17
2,21.6
5,29
3,20
1,15
4,30
6,62.5
2,15
5,45.19
4,38.46
4,30
5,46.67
5,22.53
5,71.15
4,14
4,35.18
5,32
2,14
4,27
4,31.25
6,45
5,38.46
4,25.64
4,21.15
4,18
2,26.44
5,41.03
5,15
4,36
3,14.85
2,17.95
3,14
2,26
5,26.44
4,24.76
4,20
2,14
4,38
2,21.43
2,24.71
1,14
5,60.74
2,14
4,31.87
4,17.5
4,14
1,14
4,36
4,14.4
2,15
5,25
6,38.46
4,15.75
0,17
5,39.73
6,39.42
4,23.08
5,29.81
4,40.38
4,18
2,15.5
0,16
2,15
1,17
4,28.72
4,16.83
4,22.73
4,36.92
2,23.08
5,30.77
4,20
3,14
5,26.44
5,17.5
0,18
6,36.06
4,27.05
4,51.28
4,24.04
4,34.19
4,19
6,41.03
4,19.23
3,15.75
2,20
5,57.69
5,25
5,25
3,22
4,30
5,16
2,25
6,67.03
2,55.29
4,20.18
5,28.85
1,20
4,34.87
2,7.21
4,20
6,48.08
5,45.19
3,14
4,12
5,16
4,20
4,14
4,16
5,34.5
3,14
2,16
5,14
5,52.88
2,52.45
2,18
1,17
4,19.23
4,25
1,14
2,20
5,15
2,18
5,17.5
6,39.42
2,24.13
5,16
6,47.86
6,15
4,17.44
5,21.03
2,14
3,38.77
5,24.04
5,14
2,14
5,54.4
5,46.15
6,31.25
2,19.81
6,20
4,42.79
6,60.58
5,15
5,20
1,14
4,34.87
2,14.35
6,42
5,48.08
3,17
2,14
5,20.51
2,14
2,16.75
5,25
6,27.12
6,34
2,14.25
6,36.26
4,16
5,46.15
6,19
2,18
4,14
4,55
6,32
2,22.6
1,14
4,36.73
4,14
5,32
4,18
4,27
5,16
5,26.44
4,34.09
1,21.65
5,21.63
3,17
6,24.04
2,14
6,92.31
5,31.25
1,16.87
6,23.08
5,24
5,47.18
3,14
4,15
4,50.48
1,12.65
5,15.5
5,4.31
3,20
3,14
0,17
2,15
6,95.9
4,27.69
4,25
2,33.98
3,14
6,52.75
3,20
5,30.77
1,13
1,13.7
4,23
4,19
5,20.49
5,38.46
4,47.5
3,18
4,43.27
4,16
4,48.72
5,14
2,18
2,15.75
5,38.46
2,14
4,45.86
5,23.08
5,16
5,31.79
6,20.51
5,28.13
5,54.49
6,49.03
4,16
2,22
6,28.85
2,21.9
6,60.03
4,17.5
5,60
5,19
6,60.9
5,61.54
6,14
4,14
2,18
5,14.42
4,38.46
4,60.1
5,14
3,24.1
5,32.05
2,20
5,52.88
4,36
4,37.33
4,28.21
5,49.04
5,37.47
3,14
4,20.19
4,22.12
4,38.46
4,25.79
2,26
5,14
6,43.59
4,43.75
3,15.87
5,23.94
5,40
4,41.96
5,54.4
2,17
4,19.78
5,33
6,16.24
3,14
2,19
5,29
5,16.48
4,60.1
1,15
5,14
5,25
1,17.5
2,14
4,64.1
2,18
5,17
4,17.31
2,23.37
5,14.4
4,36
4,30.22
6,13.13
1,16
5,20
6,60.07
5,18
5,38.46
5,37.36
4,35
5,51.28
6,17.31
4,14
5,35.9
5,53.65
4,22
6,76.92
2,14.34
2,28
3,20.51
5,37.98
6,46.63
5,49.04
4,16
2,35
4,61.54
5,30
4,44.23
6,49.74
2,14
5,23
4,23.3
4,45
5,31.25
5,14
4,40.87
6,54.69
4,14.8
2,19.26
5,40.38
1,11
4,23.08
1,24.04
5,57.69
4,24.04
5,18
5,38.97
4,23.08
3,18.97
2,18.75
2,14
4,15.94
4,30
4,48.72
2,17.75
2,21
4,48.08
5,50.48
6,27.5
5,14
5,30
4,22.5
5,15
5,40.51
4,18
4,19.71
5,54.49
4,24.7
5,29
6,35.53
5,39.42
5,46.15
5,57.69
5,24.62
5,74.36
4,42.79
4,20.2
5,36.54
4,14.5
6,52.88
4,14
2,14
6,51.28
6,22.36
1,13.5
6,40.87
5,20.63
5,28.85
6,36.06
5,33.65
5,18
5,35
5,22.53
4,20
5,40.39
5,47.12
4,43
5,47.12
4,24
5,39.21
2,20
4,40
